# produced by /home/zzhang65/tools/perllib/bin/cub_seq.pl -s Bdis.cds_primaryTrancsriptOnly.fa.filtered -t codon_tai.tsv -c codon_cai_top300.tsv -f optimal_codons.tsv -e enc -l -o seq_cub.tsv
#seq_id	enc	tai	cai	fop
Bradi0011s00100	38.0813407	0.5773391	0.6477878	0.7569444
Bradi0011s00200	41.6779032	0.4530792	0.5596078	0.4460641
Bradi2g02070	40.2197702	0.5344239	0.7023224	0.6375691
Bradi2g31600	49.5204578	0.5082628	0.5320729	0.5831063
Bradi2g60646	42.1352938	0.5289348	0.6973254	0.6000000
Bradi2g46410	55.3394780	0.4780088	0.3806964	0.5274463
Bradi2g26240	33.5587520	0.5329772	0.8055874	0.6387521
Bradi2g00786	36.3008961	0.4695184	0.6401989	0.4505495
Bradi2g06700	32.2503409	0.5245724	0.7706974	0.6405451
Bradi2g08800	48.3313249	0.5556302	0.7396136	0.6374269
Bradi2g20920	60.1886024	0.5436044	0.5021391	0.7043478
Bradi2g26813	61.3646415	0.4463149	0.4056712	0.4024390
Bradi2g54177	40.2691514	0.5290282	0.7004239	0.5952849
Bradi2g45055	40.4633386	0.5126580	0.8552460	0.6111111
Bradi2g51830	53.1811159	0.4802047	0.3837126	0.5144928
Bradi2g49850	55.4799906	0.5116338	0.4845854	0.5520362
Bradi2g04660	37.7559585	0.5266196	0.7133675	0.6048880
Bradi2g53220	43.3985885	0.5724880	0.5502566	0.6962025
Bradi2g12330	38.9171596	0.5285494	0.7253827	0.6256831
Bradi2g23420	34.1527090	0.5184168	0.7725224	0.6087824
Bradi2g35703	55.7828049	0.4638405	0.4986138	0.4789272
Bradi2g16040	36.2806800	0.5473727	0.7314490	0.6586826
Bradi2g43280	48.2695549	0.4579661	0.4197987	0.5000000
Bradi2g42850	59.7954815	0.5243821	0.4096570	0.5952381
Bradi2g01301	55.5582833	0.4922248	0.4081136	0.5532787
Bradi2g57735	62	0.4898628	0.4139033	0.4800000
Bradi2g16740	48.8558888	0.4647464	0.3703486	0.4789762
Bradi2g54910	47.3737158	0.5079855	0.6583429	0.5740741
Bradi2g49965	38.6795958	0.5403903	0.8370157	0.6129032
Bradi2g61075	47.3261546	0.4838773	0.5997001	0.5061728
Bradi2g14200	62	0.4735356	0.3978647	0.5021459
Bradi2g25980	55.1672048	0.5123344	0.5964601	0.6724138
Bradi2g30800	40.3595994	0.5141500	0.6773538	0.5989305
Bradi2g05460	55.6024652	0.4834545	0.3743698	0.5480519
Bradi2g32235	62	0.4694564	0.3318937	0.4897959
Bradi2g06665	54.0485437	0.4642622	0.4480242	0.4656085
Bradi2g09965	48.0354271	0.4806712	0.5899044	0.5223881
Bradi2g05530	53.1928367	0.4977408	0.4127859	0.5544554
Bradi2g56703	52.4936035	0.4819022	0.4337724	0.5128205
Bradi2g47271	58.4166667	0.5654484	0.5919670	0.6578947
Bradi2g00550	50.3142825	0.5018642	0.5862363	0.5193798
Bradi2g37180	55.7682987	0.4791848	0.3851587	0.5212264
Bradi2g11820	36.8861683	0.5307463	0.7050540	0.6434426
Bradi2g61925	35.7187711	0.5570112	0.7180866	0.6538462
Bradi2g46680	54.3144618	0.4616642	0.3430928	0.4852941
Bradi2g56340	56.0178426	0.4731222	0.4347379	0.4408602
Bradi2g09259	62	0.4593995	0.4321684	0.4642857
Bradi2g08020	47.3411459	0.5089387	0.5825521	0.5570033
Bradi2g07272	40.0061571	0.5185813	0.6959972	0.6125356
Bradi2g36340	49.6732760	0.5075927	0.5705857	0.5681234
Bradi2g27080	52.5387995	0.4880594	0.4192033	0.5352941
Bradi2g35641	54.7495783	0.4571726	0.3844635	0.4649123
Bradi2g37440	59.3796938	0.4642914	0.4158399	0.4954955
Bradi2g54720	38.0475578	0.5223465	0.6927688	0.6000000
Bradi2g60541	38.5431442	0.5162806	0.7198806	0.6336996
Bradi2g10930	54.5762268	0.4608127	0.3658088	0.4916944
Bradi2g31550	54.7404254	0.4617410	0.3752156	0.4824242
Bradi2g08937	54.4079523	0.4503084	0.3487071	0.4910345
Bradi2g47440	35.8704554	0.5391369	0.7584770	0.6816609
Bradi2g48730	39.7104047	0.5201998	0.6935548	0.5681818
Bradi2g52180	62	0.5146981	0.4747613	0.6100917
Bradi2g16180	58.2196372	0.4779138	0.4509418	0.5336134
Bradi2g03900	58.5099347	0.4685013	0.4578345	0.4798301
Bradi2g60544	58.3421296	0.4765174	0.4186530	0.5144509
Bradi2g18573	51.2040103	0.4799409	0.5160164	0.5421687
Bradi2g59101	44.0230976	0.5230717	0.5873325	0.5743073
Bradi2g18717	50.6587065	0.4563923	0.3158488	0.4855072
Bradi2g30460	38.6646966	0.5475125	0.6711130	0.6808511
Bradi2g41930	59.2333692	0.4680054	0.3926694	0.4802956
Bradi2g47030	40.4934171	0.5076425	0.6713756	0.5406360
Bradi2g27860	47.7666635	0.5100530	0.6127067	0.6473988
Bradi2g37995	39.1757753	0.5114061	0.6832768	0.5317919
Bradi2g03631	55.6364980	0.4710597	0.4001424	0.5231278
Bradi2g32957	34.1148766	0.5439612	0.7499988	0.6524064
Bradi2g54550	56.5638563	0.4876937	0.4719640	0.5465839
Bradi2g49230	56.2729183	0.4980081	0.4567779	0.5324074
Bradi2g22875	49.3079048	0.4544687	0.5398438	0.4852941
Bradi2g23560	34.5322418	0.5483859	0.7800506	0.6289308
Bradi2g01810	53.8295606	0.4857047	0.4073748	0.5245902
Bradi2g32582	44.3364985	0.5015949	0.6345893	0.5402844
Bradi2g47850	57.8249073	0.4625050	0.3572679	0.4924078
Bradi2g19400	58.5753373	0.4872477	0.4332744	0.5450820
Bradi2g16930	47.5058923	0.5227722	0.6177221	0.5929412
Bradi2g44957	34.1256390	0.5259743	0.7410687	0.5680272
Bradi2g17570	60.1452544	0.4817151	0.4443155	0.5275862
Bradi2g28406	62	0.4364071	0.3769946	0.4285714
Bradi2g53130	54.7630005	0.4554898	0.3436207	0.4562384
Bradi2g40632	53.2541936	0.4550339	0.3416983	0.4909639
Bradi2g16920	47.2399783	0.4831041	0.3971171	0.4795918
Bradi2g22360	54.4546740	0.4810879	0.3975398	0.5420561
Bradi2g01257	54.2274647	0.4650999	0.3854880	0.5053763
Bradi2g41340	47.1528713	0.5241166	0.5585422	0.5555556
Bradi2g14330	55.0673286	0.4784458	0.3713548	0.5310245
Bradi2g52130	35.8258126	0.5373546	0.7796332	0.6258993
